start_prob,end_prob,passage,start,end,knowledge_cue,first_mention,recent_mention,log_odds,condition,prompt,model_path,model_shorthand
2.325839149416389e-17,1.8395042639662467e-17,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,0.33843430575531186,False Belief,"<|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. Where does David think the wine is?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David thinks the wine is in the",meta-llama/Meta-Llama-3-8B-Instruct,LLaMA 3 8B Instruct
1.3918506375654865e-13,1.302745617545037e-13,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,0.09544899930728579,False Belief,"<|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. Where does David go to get the wine?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David goes to get the wine from the",meta-llama/Meta-Llama-3-8B-Instruct,LLaMA 3 8B Instruct
2.5788568600460665e-14,2.946550220207485e-15,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,3.1296329378622487,True Belief,"<|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. Where does David think the wine is?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David thinks the wine is in the",meta-llama/Meta-Llama-3-8B-Instruct,LLaMA 3 8B Instruct
2.3677167539960797e-13,2.613042161120349e-13,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,-0.14223389846724369,True Belief,"<|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. Where does David go to get the wine?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David goes to get the wine from the",meta-llama/Meta-Llama-3-8B-Instruct,LLaMA 3 8B Instruct
1.474512638474571e-17,1.0675554935301198e-17,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,Start,0.4659271224293475,False Belief,"<|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. Where does David think the wine is?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David thinks the wine is in the",meta-llama/Meta-Llama-3-8B-Instruct,LLaMA 3 8B Instruct
3.8923906195501836e-16,3.3262406797481057e-16,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,Start,0.22676393579214657,False Belief,"<|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. Where does David go to get the wine?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David goes to get the wine from the",meta-llama/Meta-Llama-3-8B-Instruct,LLaMA 3 8B Instruct
1.3259627398073005e-15,3.8669648080559777e-16,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,Start,1.7777666954818692,True Belief,"<|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. Where does David think the wine is?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David thinks the wine is in the",meta-llama/Meta-Llama-3-8B-Instruct,LLaMA 3 8B Instruct
2.3204355358166047e-15,1.2658943395615777e-15,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,Start,0.8742386261281773,True Belief,"<|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. Where does David go to get the wine?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David goes to get the wine from the",meta-llama/Meta-Llama-3-8B-Instruct,LLaMA 3 8B Instruct
7.352913516921657e-18,5.70593570596325e-18,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,End,End,0.3658525255810825,False Belief,"<|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. Where does David think the wine is?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David thinks the wine is in the",meta-llama/Meta-Llama-3-8B-Instruct,LLaMA 3 8B Instruct
8.183781614618663e-14,1.0144940714319067e-13,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,End,End,-0.3099208820154365,False Belief,"<|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. Where does David go to get the wine?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David goes to get the wine from the",meta-llama/Meta-Llama-3-8B-Instruct,LLaMA 3 8B Instruct
1.8451784357712518e-14,2.119593859627243e-15,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,End,End,3.1219005789416054,True Belief,"<|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. Where does David think the wine is?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David thinks the wine is in the",meta-llama/Meta-Llama-3-8B-Instruct,LLaMA 3 8B Instruct
3.2197844650888596e-13,3.8690955279051253e-13,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,End,End,-0.2650322329093208,True Belief,"<|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. Where does David go to get the wine?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David goes to get the wine from the",meta-llama/Meta-Llama-3-8B-Instruct,LLaMA 3 8B Instruct
1.148798526317118e-17,7.984557731653887e-18,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,End,Start,0.5248414001638196,False Belief,"<|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. Where does David think the wine is?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David thinks the wine is in the",meta-llama/Meta-Llama-3-8B-Instruct,LLaMA 3 8B Instruct
7.231996420414778e-16,5.994072061683603e-16,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,End,Start,0.27085753540569724,False Belief,"<|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. Where does David go to get the wine?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David goes to get the wine from the",meta-llama/Meta-Llama-3-8B-Instruct,LLaMA 3 8B Instruct
